,air_store_id,visit_datetime,reserve_visitors
0,air_00a91d42b08b08d9,2016-10-31 00:00:00+00:00,2.0
1,air_00a91d42b08b08d9,2016-11-01 00:00:00+00:00,
2,air_00a91d42b08b08d9,2016-11-02 00:00:00+00:00,
3,air_00a91d42b08b08d9,2016-11-03 00:00:00+00:00,
4,air_00a91d42b08b08d9,2016-11-04 00:00:00+00:00,
5,air_00a91d42b08b08d9,2016-11-05 00:00:00+00:00,
6,air_00a91d42b08b08d9,2016-11-06 00:00:00+00:00,
7,air_00a91d42b08b08d9,2016-11-07 00:00:00+00:00,
8,air_00a91d42b08b08d9,2016-11-08 00:00:00+00:00,
9,air_00a91d42b08b08d9,2016-11-09 00:00:00+00:00,
10,air_00a91d42b08b08d9,2016-11-10 00:00:00+00:00,
11,air_00a91d42b08b08d9,2016-11-11 00:00:00+00:00,
12,air_00a91d42b08b08d9,2016-11-12 00:00:00+00:00,
13,air_00a91d42b08b08d9,2016-11-13 00:00:00+00:00,
14,air_00a91d42b08b08d9,2016-11-14 00:00:00+00:00,
15,air_00a91d42b08b08d9,2016-11-15 00:00:00+00:00,
16,air_00a91d42b08b08d9,2016-11-16 00:00:00+00:00,
17,air_00a91d42b08b08d9,2016-11-17 00:00:00+00:00,
18,air_00a91d42b08b08d9,2016-11-18 00:00:00+00:00,
19,air_00a91d42b08b08d9,2016-11-19 00:00:00+00:00,
20,air_00a91d42b08b08d9,2016-11-20 00:00:00+00:00,
21,air_00a91d42b08b08d9,2016-11-21 00:00:00+00:00,
22,air_00a91d42b08b08d9,2016-11-22 00:00:00+00:00,
23,air_00a91d42b08b08d9,2016-11-23 00:00:00+00:00,
24,air_00a91d42b08b08d9,2016-11-24 00:00:00+00:00,
25,air_00a91d42b08b08d9,2016-11-25 00:00:00+00:00,
26,air_00a91d42b08b08d9,2016-11-26 00:00:00+00:00,
27,air_00a91d42b08b08d9,2016-11-27 00:00:00+00:00,
28,air_00a91d42b08b08d9,2016-11-28 00:00:00+00:00,
29,air_00a91d42b08b08d9,2016-11-29 00:00:00+00:00,
30,air_00a91d42b08b08d9,2016-11-30 00:00:00+00:00,
31,air_00a91d42b08b08d9,2016-12-01 00:00:00+00:00,
32,air_00a91d42b08b08d9,2016-12-02 00:00:00+00:00,
33,air_00a91d42b08b08d9,2016-12-03 00:00:00+00:00,
34,air_00a91d42b08b08d9,2016-12-04 00:00:00+00:00,
35,air_00a91d42b08b08d9,2016-12-05 00:00:00+00:00,9.0
36,air_00a91d42b08b08d9,2016-12-06 00:00:00+00:00,
37,air_00a91d42b08b08d9,2016-12-07 00:00:00+00:00,
38,air_00a91d42b08b08d9,2016-12-08 00:00:00+00:00,
39,air_00a91d42b08b08d9,2016-12-09 00:00:00+00:00,
40,air_00a91d42b08b08d9,2016-12-10 00:00:00+00:00,
41,air_00a91d42b08b08d9,2016-12-11 00:00:00+00:00,
42,air_00a91d42b08b08d9,2016-12-12 00:00:00+00:00,
43,air_00a91d42b08b08d9,2016-12-13 00:00:00+00:00,
44,air_00a91d42b08b08d9,2016-12-14 00:00:00+00:00,18.0
45,air_00a91d42b08b08d9,2016-12-15 00:00:00+00:00,
46,air_00a91d42b08b08d9,2016-12-16 00:00:00+00:00,
47,air_00a91d42b08b08d9,2016-12-17 00:00:00+00:00,2.0
48,air_00a91d42b08b08d9,2016-12-18 00:00:00+00:00,
49,air_00a91d42b08b08d9,2016-12-19 00:00:00+00:00,
50,air_00a91d42b08b08d9,2016-12-20 00:00:00+00:00,4.0
51,air_00a91d42b08b08d9,2016-12-21 00:00:00+00:00,
52,air_00a91d42b08b08d9,2016-12-22 00:00:00+00:00,
53,air_00a91d42b08b08d9,2016-12-23 00:00:00+00:00,
54,air_00a91d42b08b08d9,2016-12-24 00:00:00+00:00,
55,air_00a91d42b08b08d9,2016-12-25 00:00:00+00:00,
56,air_00a91d42b08b08d9,2016-12-26 00:00:00+00:00,
57,air_00a91d42b08b08d9,2016-12-27 00:00:00+00:00,
58,air_00a91d42b08b08d9,2016-12-28 00:00:00+00:00,
59,air_00a91d42b08b08d9,2016-12-29 00:00:00+00:00,
60,air_00a91d42b08b08d9,2016-12-30 00:00:00+00:00,
61,air_00a91d42b08b08d9,2016-12-31 00:00:00+00:00,
62,air_00a91d42b08b08d9,2017-01-01 00:00:00+00:00,
63,air_00a91d42b08b08d9,2017-01-02 00:00:00+00:00,
64,air_00a91d42b08b08d9,2017-01-03 00:00:00+00:00,
65,air_00a91d42b08b08d9,2017-01-04 00:00:00+00:00,
66,air_00a91d42b08b08d9,2017-01-05 00:00:00+00:00,
